# The library the store screenshots show: public-domain works, listed as
# artist <TAB> album <TAB> year <TAB> title <TAB> length in seconds.
# The audio itself is a generated tone, like the test library's.
Erik Satie	Gymnopédies	1888	Gymnopédie No. 1	200
Erik Satie	Gymnopédies	1888	Gymnopédie No. 2	160
Erik Satie	Gymnopédies	1888	Gymnopédie No. 3	150
Claude Debussy	Suite bergamasque	1905	Prélude	250
Claude Debussy	Suite bergamasque	1905	Menuet	290
Claude Debussy	Suite bergamasque	1905	Clair de lune	300
Claude Debussy	Suite bergamasque	1905	Passepied	230
Frédéric Chopin	Nocturnes, Op. 9	1832	Nocturne in B-flat minor, Op. 9 No. 1	330
Frédéric Chopin	Nocturnes, Op. 9	1832	Nocturne in E-flat major, Op. 9 No. 2	270
Frédéric Chopin	Nocturnes, Op. 9	1832	Nocturne in B major, Op. 9 No. 3	400
Johann Sebastian Bach	Goldberg Variations	1741	Aria	240
Johann Sebastian Bach	Goldberg Variations	1741	Variatio 1	110
Johann Sebastian Bach	Goldberg Variations	1741	Variatio 2	100
